Timestamps,2017-06-24 20:00:11.181000,2017-06-24 20:00:12.684000,2017-06-24 20:00:12.741000,2017-06-24 20:00:14.185000,2017-06-24 20:00:14.750000,2017-06-24 20:00:15.774000,2017-06-24 20:00:16.757000,2017-06-24 20:00:17.783000,2017-06-24 20:00:18.765000,2017-06-24 20:00:19.790000,2017-06-24 20:00:20.774000,2017-06-24 20:00:21.799000,2017-06-24 20:00:22.781000,2017-06-24 20:00:23.839000,2017-06-24 20:00:24.790000,2017-06-24 20:00:25.819000,2017-06-24 20:00:26.798000,2017-06-24 20:00:27.866000,2017-06-24 20:00:28.806000,2017-06-24 20:00:29.835000,2017-06-24 20:00:30.815000,2017-06-24 20:00:31.844000,2017-06-24 20:00:32.822000,2017-06-24 20:00:33.852000,2017-06-24 20:00:34.830000,2017-06-24 20:00:35.860000,2017-06-24 20:00:36.839000,2017-06-24 20:00:37.867000,2017-06-24 20:00:38.847000,2017-06-24 20:00:39.876000,2017-06-24 20:00:40.854000,2017-06-24 20:00:41.884000,2017-06-24 20:00:42.863000,2017-06-24 20:00:43.893000,2017-06-24 20:00:44.871000,2017-06-24 20:00:45.900000,2017-06-24 20:00:46.879000,2017-06-24 20:00:47.908000,2017-06-24 20:00:48.887000,2017-06-24 20:00:49.917000,2017-06-24 20:00:50.895000,2017-06-24 20:00:51.925000,2017-06-24 20:00:52.904000,2017-06-24 20:00:53.933000,2017-06-24 20:00:54.912000,2017-06-24 20:00:55.941000,2017-06-24 20:00:56.919000,2017-06-24 20:00:57.949000,2017-06-24 20:00:58.928000,2017-06-24 20:00:59.958000,2017-06-24 20:01:00.936000,2017-06-24 20:01:01.965000,2017-06-24 20:01:02.945000,2017-06-24 20:01:03.973000,2017-06-24 20:01:04.953000,2017-06-24 20:01:05.981000,2017-06-24 20:01:06.960000,2017-06-24 20:01:07.989000,2017-06-24 20:01:08.969000,2017-06-24 20:01:09.997000
output2,12.67,12.62,12.6,12.6,12.62,12.62,12.62,12.65,12.65,12.65,12.67,12.74,12.79,12.84,12.89,12.84,12.93,12.84,12.84,12.84,12.91,12.93,12.89,12.81,12.79,12.79,12.89,12.79,12.84,12.81
output3,9.16,9.45,9.5,9.57,9.61,9.57,9.64,9.64,9.61,9.66,9.61,9.71,9.66,9.76,9.78,9.76,9.83,9.76,9.8,9.78,9.78,9.85,9.78,9.8,9.71,9.76,9.74,9.74,9.74,9.71
output1,12.67,12.62,12.6,12.6,12.62,12.62,12.62,12.65,12.65,12.65,12.67,12.74,12.79,12.84,12.89,12.84,12.93,12.84,12.84,12.84,12.91,12.93,12.89,12.81,12.79,12.79,12.89,12.79,12.84,12.81
